dist,C2',C3'
-1.24,2.60130784100754e-012,3.75843233245509e-033
-1.23,3.82507740759319e-012,7.20510299192096e-033
-1.22,5.60845510658159e-012,1.37728485387223e-032
-1.21,8.19975597837752e-012,2.62500789589117e-032
-1.2,1.1954009830617e-011,4.98870045885867e-032
-1.19,1.73772714967546e-011,9.45295528859233e-032
-1.18,2.51887850855059e-011,1.78606645269165e-031
-1.17,3.64071515990272e-011,3.36478722174289e-031
-1.16,5.24713952843037e-011,6.32054190600982e-031
-1.15,7.54075829556555e-011,1.18382540842498e-030
-1.14,1.08059859671439e-010,2.21084175124123e-030
-1.13,1.54408458241662e-010,4.11684264652327e-030
-1.12,2.20006415863061e-010,7.64376768486605e-030
-1.11,3.12577463912334e-010,1.41510079983627e-029
-1.1,4.42831271652011e-010,2.61218512626169e-029
-1.09,6.25572649237682e-010,4.80791859655814e-029
-1.08,8.81203832125976e-010,8.82362216052649e-029
-1.07,1.23775500959766e-009,1.61463129486123e-028
-1.06,1.73362280087019e-009,2.94602522096867e-028
-1.05,2.42121500626524e-009,5.35972340530871e-028
-1.04,3.37188588162007e-009,9.72237939689854e-028
-1.03,4.68245797691225e-009,1.75853774327082e-027
-1.02,6.48390718893666e-009,3.1714309579454e-027
-1.01,8.95286511592985e-009,5.70305566241372e-027
-1,1.23267955842721e-008,1.02254985503626e-026
-0.99,1.69239466885074e-008,1.82812998921609e-026
-0.98,2.31695231889262e-008,3.25884171514314e-026
-0.97,3.16298454094976e-008,5.79236773617116e-026
-0.96,4.30569926379576e-008,1.02657002579473e-025
-0.95,5.84459662889003e-008,1.81407279603384e-025
-0.94,7.91100660535449e-008,3.19637317591337e-025
-0.93,1.06776553820964e-007,5.61560890573345e-025
-0.92,1.4371025258697e-007,9.83723156661217e-025
-0.91,1.9287128338874e-007,1.71824673108493e-024
-0.9,2.58117495377519e-007,2.99250499255633e-024
-0.89,3.44458442214091e-007,5.1966188465607e-024
-0.88,4.58381180123979e-007,8.99794785562079e-024
-0.87,6.08258744705381e-007,1.55346938631627e-023
-0.86,8.04863361736352e-007,2.67422900236837e-023
-0.85,1.06201184735255e-006,4.59019448967435e-023
-0.84,1.3973701697978e-006,7.85597797863783e-023
-0.83,1.83344513970951e-006,1.34062101946233e-022
-0.82,2.39883638641913e-006,2.28112194281246e-022
-0.81,3.12975544147776e-006,3.87014781448194e-022
-0.8,4.07191373597016e-006,6.54701438906413e-022
-0.79,5.282824531605e-006,1.10432186262363e-021
-0.78,6.83462849337957e-006,1.85732279192398e-021
-0.77,8.81749110703822e-006,3.11467690488936e-021
-0.76,1.13437945401529e-005,5.20805151735925e-021
-0.75,1.45531212183414e-005,8.68308775779246e-021
-0.74,1.86182951438241e-005,1.44347653625578e-020
-0.73,2.37525964621454e-005,2.39266515824938e-020
-0.72,3.02183798339684e-005,3.95449298402688e-020
-0.71,3.83373917429708e-005,6.51686620028631e-020
-0.7,4.85026612295769e-005,1.07083099175404e-019
-0.69,6.11931245657615e-005,1.7544446508522e-019
-0.68,7.69902544561774e-005,2.86612447081701e-019
-0.67,9.65976360021159e-005,4.66860479230987e-019
-0.66,0.000120864096970763,7.58255891409623e-019
-0.65,0.000150810141349211,1.22795117029862e-018
-0.64,0.000187658180948347,1.98281872312407e-018
-0.63,0.000232868667808361,3.19243181623027e-018
-0.62,0.000288179900962859,5.12503488590809e-018
-0.61,0.000355654250597581,8.20368035746102e-018
-0.6,0.00043773022480309,1.30935436593172e-017
-0.59,0.000537282729055732,2.08373446834233e-017
-0.58,0.000657686206977814,3.30646656324556e-017
-0.57,0.000802893016953021,5.23145613848834e-017
-0.56,0.000977513962425292,8.25311118194209e-017
-0.55,0.00118691113311797,1.29822331075723e-016
-0.54,0.0014372980222106,2.03618753116274e-016
-0.53,0.0017358532641083,3.18438145462653e-016
-0.52,0.00209083547815681,4.96554218844757e-016
-0.51,0.00251172389835119,7.72049196779936e-016
-0.5,0.00300935539416969,1.19690562359008e-015
-0.49,0.00359607674181461,1.85016919624812e-015
-0.48,0.00428591715171933,2.85167257747787e-015
-0.47,0.00509473634883761,4.38252559920417e-015
-0.46,0.00604043900966644,6.71561728956042e-015
-0.45,0.00714314868673682,1.0260918159523e-014
-0.44,0.0084254052489996,1.56322319048692e-014
-0.43,0.00991237536072731,2.37461045022192e-014
-0.42,0.011632077395916,3.59666859012578e-014
-0.41,0.0136155439540744,5.43181663114223e-014
-0.4,0.0158971082419157,8.17949291740012e-014
-0.39,0.0185145828872919,1.22813014640823e-013
-0.38,0.0215094573795795,1.83864940416986e-013
-0.37,0.0249271430075169,2.74467026797204e-013
-0.36,0.0288171656429768,4.08524478351727e-013
-0.35,0.0332333520054817,6.0629311900845e-013
-0.34,0.0382339991629124,8.97188736064675e-013
-0.33,0.0438820458948612,1.32379773375851e-012
-0.32,0.0502452775835991,1.94758358745828e-012
-0.31,0.0573963634669781,2.85698006051438e-012
-0.3,0.0654131025075912,4.17883262715524e-012
-0.29,0.0743784010410309,6.09454587491287e-012
-0.28,0.0843802988529205,8.86262417620909e-012
-0.27,0.0955122411251068,1.2850501045214e-011
-0.26,0.107872940599918,1.85786594442128e-011
-0.25,0.121566295623779,2.67821459454254e-011
-0.24,0.136701479554176,3.84957690724441e-011
-0.23,0.153392970561981,5.51718115637811e-011
-0.22,0.171760484576225,7.88421064545908e-011
-0.21,0.191928535699844,1.12340359237351e-010
-0.2,0.214026778936386,1.59606300398352e-010
-0.19,0.238189727067947,2.26101110056831e-010
-0.18,0.264556467533112,3.19367143841731e-010
-0.17,0.293270915746689,4.49794812507065e-010
-0.16,0.324481099843979,6.31648289228792e-010
-0.15,0.358339428901672,8.84449069538107e-010
-0.14,0.395002782344818,1.23482957192778e-009
-0.13,0.434631198644638,1.71900771395173e-009
-0.12,0.477389186620712,2.38608199865098e-009
-0.11,0.523444592952728,3.30239879886562e-009
-0.1,0.572968602180481,4.55732962478805e-009
-0.0899999999999999,0.626136243343353,6.27087226590106e-009
-0.0800000000000001,0.683125197887421,8.60363780219586e-009
-0.0699999999999998,0.744116365909576,1.17699077151201e-008
-0.0600000000000001,0.80929309129715,1.60547006800016e-008
-0.0499999999999998,0.878842055797577,2.18356692727184e-008
-0.04,0.952952086925507,2.96119821996399e-008
-0.0299999999999998,1.03181445598602,4.00410193890366e-008
-0.02,1.1156222820282,5.39857936132648e-008
-0.00999999999999979,1.20457124710083,7.25755882058365e-008
0,1.29885745048523,9.72833262835593e-008
0.0100000000000002,1.3986804485321,1.30023835254178e-007
0.02,1.50423884391785,1.7327832324554e-007
0.0300000000000002,1.6157329082489,2.30251387733915e-007
0.04,1.73336565494537,3.05068766692784e-007
0.0500000000000003,1.85733473300934,4.03022511363815e-007
0.0600000000000001,1.98784101009369,5.30881607119227e-007
0.0700000000000003,2.12508630752563,6.97272923844139e-007
0.0800000000000001,2.26926755905151,9.13155531634402e-007
0.0899999999999999,2.420578956604,1.19240610274574e-006
0.1,2.57921743392944,1.55252951117291e-006
0.11,2.74537062644959,2.01554416889849e-006
0.12,2.91922283172607,2.60904585047683e-006
0.13,3.10095643997192,3.36750281348941e-006
0.14,3.29074668884277,4.33382319897646e-006
0.15,3.48875761032104,5.56123723072233e-006
0.16,3.69515180587769,7.11555185262114e-006
0.17,3.9100775718689,9.07785943127237e-006
0.18,4.13367176055908,1.15476805149228e-005
0.19,4.36606693267822,1.46468155435286e-005
0.2,4.60737133026123,1.85237440746278e-005
0.21,4.85768699645996,2.33588561968645e-005
0.22,5.11709499359131,2.93705579679227e-005
0.23,5.38565731048584,3.68221917597111e-005
0.24,5.66341590881348,4.60303672298323e-005
0.25,5.9503960609436,5.73742036067415e-005
0.26,6.24659252166748,7.13060653652065e-005
0.27,6.55197286605835,8.83637112565339e-005
0.28,6.8664755821228,0.000109184031316545
0.29,7.19002151489258,0.000134518544655293
0.3,7.52247714996338,0.000165250850841403
0.31,7.86369180679321,0.00020241507445462
0.32,8.21346855163574,0.000247218005824834
0.33,8.57158088684082,0.000301062274957076
0.34,8.93774318695068,0.000365570012945682
0.35,9.31164646148682,0.000442612450569868
0.36,9.69293785095215,0.00053433736320585
0.37,10.0812015533447,0.000643201055936515
0.38,10.4760046005249,0.00077200005762279
0.39,10.8768444061279,0.000923905521631241
0.4,11.2832012176514,0.0011024980340153
0.41,11.6944780349731,0.00131180253811181
0.42,12.110068321228,0.00155632314272225
0.43,12.5293045043945,0.00184107979293913
0.44,12.9514865875244,0.00217163353227079
0.45,13.3758983612061,0.00255412701517344
0.46,13.8017578125,0.00299530732445419
0.47,14.2282943725586,0.00350253912620246
0.48,14.6546812057495,0.00408383691683412
0.49,15.0801057815552,0.00474786292761564
0.5,15.5037050247192,0.00550393387675285
0.51,15.9246444702148,0.00636200979351997
0.52,16.3420886993408,0.00733267655596137
0.53,16.7551651000977,0.00842711143195629
0.54,17.1630706787109,0.0096570486202836
0.55,17.5649738311768,0.0110346907749772
0.56,17.9600715637207,0.0125726759433746
0.57,18.3476066589355,0.0142839550971985
0.58,18.72682762146,0.0161817017942667
0.59,19.0970497131348,0.0182791762053967
0.6,19.457576751709,0.0205896068364382
0.61,19.8078098297119,0.0231259725987911
0.62,20.1471748352051,0.0259009264409542
0.63,20.475133895874,0.0289265457540751
0.64,20.7911720275879,0.0322141461074352
0.65,21.094913482666,0.0357741005718708
0.66,21.3859214782715,0.0396156385540962
0.67,21.6639060974121,0.0437465347349644
0.68,21.9285545349121,0.0481730662286282
0.69,22.1796417236328,0.0528996996581554
0.7,22.4169635772705,0.0579289272427559
0.71,22.6403884887695,0.063261091709137
0.72,22.849817276001,0.0688942894339561
0.73,23.0451946258545,0.0748240724205971
