row.names,#a,&a,0a,0b,0i,1L,1[,1a,1b,1c,1e,1f,1g,1m,1o,1t,1z,2[,2a,2h,2o,3a,3b,3d,4a,4b,4d,4g,4n,4p,4s,5d,5j,5q,5z,6d,6g,6j,6n,6p,7a,7d,7p,7r,8d,9a,2g,2u,2z,3g,5n,5r
11.74,5.68633E-039,7.46744E-031,1.1394E-015,4.59971E-031,0,0,4.69032E-021,2.31346E-026,1.00319E-033,0,0,2.89589E-024,6.07299E-026,0.0000000000000327952,3.87107E-023,8.77969E-023,6.36676E-035,0.0000000000000169363,0.000000000000344342,0.000000000000887312,7.65381E-016,0.000000000239101,0.00000000110854,0.0000000399396,0.000000000000871013,2.42591E-015,0.000000000000364696,3.15126E-031,3.01237E-025,5.55001E-017,0,0.000000000696394,0.000000654326,0.000000160982,0,0.00000000000615442,1.39504E-017,0.00000000354005,1.18724E-030,6.77206E-018,3.74423E-026,0.00000000000259834,0.00000000000344997,4.10728E-022,0.0000000000063198,0.00000000352819,1.44737E-024,0.00000000000253174,3.23479E-033,0.00000000000901299,2.08026E-022,0.0000000285646
11.75,3.99377E-039,5.46947E-031,9.20605E-016,3.35915E-031,0,0,3.64606E-021,1.75991E-026,7.26482E-034,0,0,2.19609E-024,4.57132E-026,0.0000000000000267387,2.95702E-023,6.72169E-023,4.55807E-035,0.0000000000000138,0.000000000000283912,0.000000000000730408,6.14181E-016,0.000000000201983,0.000000000938897,0.0000000343078,0.000000000000717589,1.96385E-015,0.000000000000299281,2.3027E-031,2.27329E-025,4.4257E-017,0,0.000000000588089,0.000000571975,0.000000139085,0,0.00000000000510056,1.10889E-017,0.00000000300814,8.69416E-031,5.37619E-018,2.81337E-026,0.00000000000215114,0.00000000000285709,3.15831E-022,0.00000000000525587,0.0000000030161,1.0975E-024,0.00000000000209418,2.33409E-033,0.00000000000746798,1.59798E-022,0.000000024531
11.76,2.80297E-039,4.00315E-031,7.43287E-016,2.45139E-031,0,0,2.83225E-021,1.33784E-026,5.25716E-034,0,0,1.6642E-024,3.43849E-026,0.0000000000000217848,2.25716E-023,5.14235E-023,3.26082E-035,0.0000000000000112364,0.000000000000233919,0.000000000000600817,4.92495E-016,0.000000000170503,0.000000000794646,0.0000000294491,0.000000000000590763,1.58863E-015,0.000000000000245421,1.68142E-031,1.71429E-025,3.52659E-017,0,0.000000000496271,0.000000499635,0.00000012008,0,0.0000000000042241,8.8079E-018,0.00000000255435,6.3621E-031,4.26497E-018,2.11241E-026,0.00000000000177962,0.00000000000236441,2.42684E-022,0.00000000000436791,0.00000000257646,8.31608E-025,0.000000000001731,1.68296E-033,0.00000000000618341,1.22661E-022,0.0000000210518
11.77,1.96579E-039,2.92781E-031,5.99685E-016,1.78764E-031,0,0,2.19848E-021,1.01626E-026,3.80157E-034,0,0,1.26021E-024,2.58453E-026,0.0000000000000177358,1.72169E-023,3.93124E-023,2.33108E-035,9.14244E-015,0.000000000000192591,0.000000000000493864,3.94633E-016,0.000000000143825,0.000000000672077,0.0000000252605,0.000000000000486002,1.28418E-015,0.000000000000201107,1.22688E-031,1.29181E-025,2.80811E-017,0,0.000000000418488,0.000000436136,0.000000103596,0,0.00000000000349573,6.99104E-018,0.00000000216748,4.65219E-031,3.38101E-018,1.58494E-026,0.0000000000014712,0.0000000000019553,1.86343E-022,0.00000000000362735,0.0000000021993,6.29674E-025,0.00000000000142977,1.2126E-033,0.00000000000511615,9.40865E-023,0.0000000180531
11.78,1.3777E-039,2.13984E-031,4.83485E-016,1.30271E-031,0,0,1.70534E-021,7.71431E-027,2.74708E-034,0,0,9.53629E-025,1.9413E-026,0.0000000000000144292,1.31233E-023,3.00326E-023,1.66527E-035,7.4335E-015,0.000000000000158453,0.000000000000405666,3.15995E-016,0.000000000121236,0.000000000568017,0.0000000216525,0.000000000000399537,1.03733E-015,0.000000000000164678,8.94587E-032,9.72767E-026,2.23444E-017,0,0.000000000352649,0.000000380442,0.0000000893118,0,0.00000000000289091,5.54505E-018,0.00000000183792,3.39947E-031,2.67839E-018,1.18836E-026,0.00000000000121538,0.00000000000161585,1.42982E-022,0.00000000000301024,0.00000000187602,4.7644E-025,0.00000000000118012,8.7309E-034,0.00000000000423016,7.21179E-023,0.0000000154707
11.79,9.64812E-040,1.56276E-031,3.8951E-016,9.48605E-032,0,0,1.32182E-021,5.85146E-027,1.98358E-034,0,0,7.21088E-025,1.45706E-026,0.0000000000000117303,9.99546E-024,2.2926E-023,1.18873E-035,6.03953E-015,0.00000000000013027,0.000000000000332973,2.52839E-016,0.000000000102118,0.000000000479718,0.0000000185464,0.000000000000328213,8.37311E-016,0.000000000000134748,6.51802E-032,7.31967E-026,1.77664E-017,0,0.00000000029695,0.000000331621,0.0000000769399,0,0.00000000000238897,4.39485E-018,0.00000000155735,2.4822E-031,2.12021E-018,8.90338E-027,0.00000000000100329,0.00000000000133435,1.09629E-022,0.00000000000249627,0.00000000159908,3.60226E-025,0.000000000000973348,6.28164E-034,0.00000000000349505,5.52372E-023,0.000000013248
11.8,0,1.14047E-031,3.13572E-016,6.90253E-032,0,0,1.02382E-021,4.43523E-027,1.43125E-034,0,0,5.44856E-025,1.09282E-026,9.52925E-015,7.6076E-024,1.74884E-023,8.47942E-036,4.90343E-015,0.000000000000107023,0.00000000000027311,2.02159E-016,0.0000000000859532,0.000000000404856,0.0000000158746,0.000000000000269426,6.75367E-016,0.000000000000110177,4.74564E-032,5.50374E-026,1.41162E-017,0,0.000000000249869,0.00000028886,0.0000000662337,0,0.00000000000197276,3.4807E-018,0.00000000131867,1.81112E-031,1.67715E-018,6.66573E-027,0.000000000000827617,0.00000000000110111,8.3995E-023,0.00000000000206857,0.00000000136202,2.7216E-025,0.000000000000802221,4.51619E-034,0.00000000000288562,4.22771E-023,0.0000000113364
11.81,0,8.31692E-032,2.52256E-016,5.01899E-032,0,0,7.92419E-022,3.35933E-027,1.03196E-034,0,0,4.11396E-025,8.19047E-027,7.73559E-015,5.78599E-024,1.33307E-023,6.04412E-036,3.97817E-015,0.0000000000000878612,0.000000000000223849,1.61521E-016,0.0000000000722945,0.000000000341432,0.0000000135779,0.000000000000221009,5.44349E-016,0.0000000000000900209,3.45269E-032,4.13532E-026,1.12078E-017,0,0.000000000210101,0.000000251434,0.0000000569759,0,0.00000000000162788,2.75469E-018,0.00000000111578,1.32051E-031,1.32572E-018,4.98685E-027,0.000000000000682209,0.000000000000907989,6.43085E-023,0.00000000000171292,0.00000000115927,2.05475E-025,0.000000000000660703,3.24457E-034,0.00000000000238076,3.23342E-023,0.00000000969371
11.82,0,6.06091E-032,2.02786E-016,3.64689E-032,0,0,6.12891E-022,2.54264E-027,7.43545E-035,0,0,3.1041E-025,6.13432E-027,6.2751E-015,4.39746E-024,1.01544E-023,4.30525E-036,3.22525E-015,0.0000000000000720796,0.000000000000183344,1.28962E-016,0.0000000000607633,0.000000000287743,0.0000000116055,0.000000000000181166,4.38437E-016,0.0000000000000735003,2.51026E-032,3.10496E-026,8.89238E-018,0,0.000000000176539,0.000000218706,0.0000000489771,0,0.00000000000134235,2.17858E-018,0.000000000943455,9.62125E-032,1.04721E-018,3.72822E-027,0.000000000000561951,0.000000000000748219,4.92017E-023,0.00000000000141741,0.000000000985991,1.55021E-025,0.000000000000543766,2.32939E-034,0.00000000000196286,2.47124E-023,0.00000000828322
11.83,0,4.41351E-032,1.62896E-016,2.6479E-032,0,0,4.73682E-022,1.92305E-027,5.35332E-035,0,0,2.34037E-025,4.5909E-027,5.08655E-015,3.33964E-024,7.72904E-024,3.06431E-036,2.61289E-015,0.0000000000000590891,0.000000000000150058,1.02889E-016,0.0000000000510334,0.000000000242319,0.00000000991236,0.000000000000148396,3.52868E-016,0.0000000000000599667,1.8237E-032,2.32957E-026,7.05005E-018,0,0.000000000148229,0.000000190099,0.0000000420701,0,0.00000000000110609,1.72167E-018,0.000000000797164,7.00476E-032,8.26586E-019,2.78517E-027,0.000000000000462549,0.00000000000061611,3.76155E-023,0.00000000000117202,0.000000000837993,1.16868E-025,0.000000000000447194,1.67108E-034,0.00000000000161713,1.8873E-023,0.00000000707277
