name,avg:,chi i-1,delta i-1, epsilon,   zeta,  alpha,  beta, gamma,   delta,  chi,sig:,chi-1,del-1,epsil,zeta,alpha,beta,gam,delta, chi
0b,,179.179,147.593,248.421,112.086,274.943,164.764,56.843,146.264,242.529,,82.1,4,20.1,14.4,16.7,16.1,12.3,5.6,29.7
4p,,174.731,150.077,260.246,213.785,71.9,207.638,56.715,148.131,243.669,,87.8,9.5,16.2,18.7,12.8,27.2,14.3,4.3,23.2
6p,,192.159,146.415,257.831,89.597,67.923,173.051,55.513,147.623,242.8,,73.3,7.2,20.5,15.4,11.6,18.1,8.1,3.6,10.7
4s,,217.9,149.863,247.562,170.488,277.938,84.425,176.413,148.087,261.65,,9,2.3,16,11.8,13.2,6.7,5.5,1.5,6
2o,,234.583,147.342,256.475,295.508,287.408,194.525,293.725,150.458,199.575,,12.9,6.1,15.4,16.3,3.5,25.6,6.9,3.4,83.4

2g,,,145.365,250.113,286.804,170.801,165.468,50.863,84.425,,,,7.1,18.2,13,19.5,21.3,5.6,4.3,
2u,,,145.298,259.102,296.33,286.744,180.82,174.692,143.096,,,,7,9.3,14,12.5,29.4,13.3,7.8,
2z,,,142.676,229.463,272.695,185.333,171.788,54.83,145.313,,,,4.7,29.5,23.8,18.6,28.4,10.4,7.8,
3g,,,85.046,196.608,147.423,162.286,185.096,53.779,84.421,,,,8.4,25.9,25.1,19.4,17.7,7.6,3.3,
5n,,,90.129,234.557,106.031,71.935,209.777,180.85,87.575,,,,8.2,30.3,14.6,17.6,22.7,8.4,7.1,
5r,,,83.403,196.38,67.744,60.737,157.976,293.988,155.783,,,,2.6,15.9,11.9,12.8,23.8,7,4.9,


5p,,,84.457,213.286,69.086,75.5,156.671,57.486,147.686,,,,3.7,30.5,29.8,24.2,25.3,15.7,5.8,
0k,,,149.067,249.783,111.517,278.367,207.783,287.817,86.65,,,,6,22.2,17.4,18.5,37.6,13.4,5.4,
