row.names,#a,&a,0a,0b,0i,1L,1[,1a,1b,1c,1e,1f,1g,1m,1o,1t,1z,2[,2a,2h,2o,3a,3b,3d,4a,4b,4d,4g,4n,4p,4s,5d,5j,5q,5z,6d,6g,6j,6n,6p,7a,7d,7p,7r,8d,9a,2g,2u,2z,3g,5n,5r
4.56,0.000000466328,0.0035426,0.000291096,1.20725E-024,6.27081E-031,0.000000530379,0.0000000886739,0.00357741,3.26846E-015,0.0000000000167129,0.000578828,0.0000000983905,0.000193451,0.216624,0.000366895,9.31119E-032,0.000000000195748,0.00000000399163,0.155971,0.000000720773,0.000000291065,0.00166766,0.000000000000102711,0.0114743,0.0134554,0.0000000804158,0.000044186,0.00137199,2.46262E-028,0.000000000174025,9.69444E-032,0.0000000441229,0.00000000000781357,0.0000000000149188,1.21577E-025,0.000000693822,0.0744927,0.000000000000489497,0.000000000000171753,6.11603E-020,0.0159749,0.0000198068,0.000000221054,0.0000826237,0.0112108,0.00000734204,0.068284,2.63219E-016,6.08729E-016,0.000216683,2.18622E-019,0.00230766
4.57,0.000000617314,0.00408691,0.000350534,2.11606E-024,1.1786E-030,0.000000695916,0.00000011849,0.00386057,4.94293E-015,0.0000000000235525,0.000685038,0.000000131173,0.000233741,0.234278,0.000446629,1.76781E-031,0.000000000277073,0.00000000547941,0.166183,0.00000094017,0.000000388974,0.0019865,0.000000000000153865,0.0132231,0.0152646,0.000000106785,0.0000554077,0.00160992,4.50092E-028,0.000000000245811,1.83567E-031,0.0000000597301,0.00000000001135,0.0000000000218605,2.14931E-025,0.000000911329,0.0821926,0.000000000000727891,0.000000000000256425,9.99321E-020,0.0176348,0.0000251926,0.000000291293,0.000102645,0.0130543,0.00000933174,0.0734914,4.11245E-016,9.45217E-016,0.000267181,3.57824E-019,0.00272987
4.58,0.000000814912,0.00470191,0.000420975,3.69816E-024,2.2087E-030,0.000000910454,0.000000157876,0.0041654,7.45351E-015,0.0000000000330944,0.000808376,0.000000174376,0.000281656,0.252732,0.000542113,3.34647E-031,0.00000000039104,0.00000000750007,0.176775,0.00000122277,0.000000518341,0.00235977,0.000000000000229823,0.0151968,0.0172698,0.000000141388,0.0000692794,0.00188362,8.20221E-028,0.000000000346195,3.46574E-031,0.0000000806223,0.0000000000164388,0.0000000000319388,3.78857E-025,0.00000119362,0.0904603,0.00000000000107926,0.000000000000381726,1.62805E-019,0.0194109,0.0000319521,0.000000382734,0.000127162,0.0151586,0.0000118266,0.0788661,6.40635E-016,1.46341E-015,0.000328524,5.83953E-019,0.00322035
4.59,0.0000010728,0.00539474,0.000504227,6.44459E-024,4.12721E-030,0.00000118769,0.000000209758,0.00449368,0.000000000000011207,0.0000000000463683,0.000951156,0.000000231148,0.000338483,0.271957,0.000656117,6.31669E-031,0.000000000550289,0.0000000102367,0.187739,0.00000158572,0.000000688793,0.00279552,0.000000000000342288,0.0174176,0.0194853,0.000000186663,0.000086377,0.0021975,1.49043E-027,0.000000000486165,6.52457E-031,0.000000108508,0.0000000000237405,0.0000000000465286,6.65893E-025,0.00000155896,0.099311,0.00000000000159568,0.00000000000056662,2.64471E-019,0.0213044,0.0000404114,0.000000501433,0.000157099,0.0175536,0.000014946,0.0843882,9.95099E-016,2.25916E-015,0.000402825,9.5025E-019,0.00378849
4.6,0.00000140837,0.00617285,0.000602332,1.11978E-023,7.68957E-030,0.00000154481,0.000000277889,0.00484725,0.0000000000000168017,0.0000000000647772,0.0011159,0.000000305522,0.000405679,0.291913,0.000791794,1.18882E-030,0.000000000772131,0.0000000139316,0.199057,0.0000020504,0.000000912701,0.00330264,0.000000000000508298,0.0199087,0.0219256,0.000000245716,0.000107385,0.00255627,2.70035E-027,0.000000000680732,1.22472E-030,0.000000145613,0.0000000000341852,0.0000000000675852,1.16698E-024,0.00000203036,0.108755,0.00000000000235238,0.000000000000838622,4.28365E-019,0.023315,0.0000509655,0.000000655035,0.000193545,0.0202706,0.0000188339,0.0900345,1.54117E-015,3.47741E-015,0.000492545,1.54181E-018,0.00444456
4.61,0.00000184384,0.0070442,0.000717625,1.9401E-023,1.42856E-029,0.00000200352,0.000000367103,0.00522814,0.0000000000000251171,0.0000000000902346,0.00130537,0.000000402678,0.000484917,0.312557,0.000952779,2.23096E-030,0.00000000108028,0.0000000189063,0.210715,0.00000264358,0.000001206,0.00389115,0.000000000000752645,0.0226946,0.0246052,0.000000322515,0.000133122,0.00296504,4.87844E-027,0.000000000950412,2.29234E-030,0.000000194842,0.000000000049083,0.0000000000978877,2.03927E-024,0.00000263687,0.1188,0.00000000000345804,0.00000000000123763,6.91829E-019,0.0254421,0.0000640958,0.000000853229,0.000237789,0.0233438,0.000023666,0.0957798,2.38001E-015,5.33717E-015,0.000600573,2.49444E-018,0.00519996
4.62,0.00000240727,0.00801699,0.000852725,3.35153E-023,2.6462E-029,0.00000259084,0.00000048357,0.00563848,0.0000000000000374387,0.000000000125331,0.00152258,0.000000529208,0.000578081,0.333834,0.00114318,4.17437E-030,0.00000000150698,0.0000000255837,0.222689,0.00000339843,0.00000158903,0.004572,0.0000000000011112,0.0258001,0.0275386,0.000000422084,0.000164555,0.00342923,8.78756E-027,0.00000000132306,4.27808E-030,0.000000259954,0.0000000000702673,0.000000000141362,3.55318E-024,0.00000341486,0.129451,0.0000000000050687,0.00000000000182117,1.11406E-018,0.0276832,0.0000803809,0.00000110816,0.000291336,0.0268087,0.0000296527,0.101596,3.66468E-015,8.16759E-015,0.000730246,4.02391E-018,0.00606704
4.63,0.00000313426,0.00909992,0.00101061,5.77317E-023,4.88761E-029,0.00000334065,0.000000635177,0.00608056,0.000000000000055645,0.000000000173578,0.00177078,0.000000693518,0.000687315,0.355685,0.00136768,7.78826E-030,0.00000000209616,0.0000000345209,0.234958,0.00000435618,0.00000208785,0.00535746,0.00000000000163583,0.0292518,0.03074,0.000000550794,0.000202831,0.00395469,1.57836E-026,0.00000000183649,7.96112E-030,0.000000345826,0.000000000100304,0.000000000203556,6.17323E-024,0.00000441,0.140707,0.0000000000074084,0.00000000000267214,1.78883E-018,0.0300355,0.000100521,0.00000143513,0.000355958,0.0307033,0.0000370486,0.107452,5.62651E-015,0.000000000000012463,0.000885449,6.47254E-018,0.00705943
4.64,0.00000406952,0.0103018,0.00119458,9.91549E-023,9.00114E-029,0.00000429489,0.000000831927,0.00655675,0.0000000000000824645,0.0000000002397,0.00205345,0.000000906239,0.000815017,0.37804,0.00163154,1.44882E-029,0.00000000290718,0.0000000464465,0.247495,0.00000556756,0.00000273548,0.00626083,0.00000000000240112,0.0330758,0.0342231,0.000000716656,0.000249296,0.00454749,2.82666E-026,0.00000000254172,1.47717E-029,0.000000458723,0.000000000142763,0.000000000292257,1.06939E-023,0.00000567904,0.152563,0.0000000000107969,0.00000000000390935,2.86388E-018,0.0324941,0.000125353,0.00000185318,0.000433712,0.0350669,0.000046157,0.113315,8.61329E-015,0.0000000000000189618,0.00107064,1.03809E-017,0.00819176
4.65,0.00000526942,0.0116321,0.00140838,1.69811E-022,1.65291E-028,0.00000550573,0.00000108653,0.00706966,0.00000000000012186,0.000000000330059,0.00237433,0.00000118085,0.000963903,0.400829,0.00194073,2.68742E-029,0.00000000402033,0.0000000623145,0.260271,0.00000709522,0.00000357396,0.00729685,0.00000000000351426,0.0372995,0.0380017,0.000000929768,0.000305536,0.00521414,5.04768E-026,0.0000000035076,2.733E-029,0.000000606721,0.000000000202608,0.000000000418397,1.84721E-023,0.00000729281,0.165011,0.0000000000156903,0.00000000000570296,4.57181E-018,0.0350536,0.000155881,0.00000238613,0.000526999,0.0399411,0.0000573422,0.119152,0.0000000000000131476,0.0000000000000287663,0.00129097,1.66014E-017,0.00948002
