# Table name/description: "Top500 Asp B<40"
# Number of dimensions: 2
# For each dimension, 1 to 2: lower_bound  upper_bound  number_of_bins  wrapping
#   x1: 0.0 360.0 72 true
#   x2: 0.0 180.0 36 true
# List of table coordinates and values. (Value is last number on each line.)
17.5 97.5 1.8456995201181247E-4
17.5 102.5 1.8456995201181247E-4
17.5 107.5 1.8456995201181247E-4
17.5 112.5 1.8456995201181247E-4
17.5 117.5 1.8456995201181247E-4
17.5 122.5 1.8456995201181247E-4
22.5 2.5 1.8456995201181247E-4
22.5 7.5 1.8456995201181247E-4
22.5 12.5 1.8456995201181247E-4
22.5 17.5 1.8456995201181247E-4
22.5 22.5 1.8456995201181247E-4
22.5 27.5 1.8456995201181247E-4
22.5 32.5 1.8456995201181247E-4
22.5 37.5 1.8456995201181247E-4
22.5 42.5 1.8456995201181247E-4
22.5 47.5 1.8456995201181247E-4
22.5 52.5 1.8456995201181247E-4
22.5 57.5 1.8456995201181247E-4
22.5 62.5 1.8456995201181247E-4
22.5 67.5 1.8456995201181247E-4
22.5 87.5 1.8456995201181247E-4
22.5 92.5 1.8456995201181247E-4
22.5 97.5 1.8456995201181247E-4
22.5 102.5 1.8456995201181247E-4
22.5 107.5 1.8456995201181247E-4
22.5 112.5 1.8456995201181247E-4
22.5 117.5 1.8456995201181247E-4
22.5 122.5 1.8456995201181247E-4
22.5 127.5 1.8456995201181247E-4
22.5 132.5 1.8456995201181247E-4
22.5 137.5 1.8456995201181247E-4
22.5 177.5 1.8456995201181247E-4
27.5 2.5 5.537098560354374E-4
27.5 7.5 7.382798080472499E-4
27.5 12.5 9.228497600590623E-4
27.5 17.5 0.0012919896640826874
27.5 22.5 0.002030269472129937
27.5 27.5 0.0033222591362126247
27.5 32.5 0.0035068290882244372
27.5 37.5 0.0035068290882244372
27.5 42.5 0.0033222591362126247
27.5 47.5 0.0027685492801771874
27.5 52.5 0.002030269472129937
27.5 57.5 0.0014765596160944998
27.5 62.5 9.228497600590623E-4
27.5 67.5 3.6913990402362494E-4
27.5 72.5 1.8456995201181247E-4
27.5 77.5 1.8456995201181247E-4
27.5 82.5 1.8456995201181247E-4
27.5 87.5 1.8456995201181247E-4
27.5 92.5 1.8456995201181247E-4
27.5 97.5 1.8456995201181247E-4
27.5 102.5 3.6913990402362494E-4
27.5 107.5 7.382798080472499E-4
27.5 112.5 9.228497600590623E-4
27.5 117.5 9.228497600590623E-4
27.5 122.5 5.537098560354374E-4
27.5 127.5 3.6913990402362494E-4
27.5 132.5 1.8456995201181247E-4
27.5 137.5 1.8456995201181247E-4
27.5 142.5 1.8456995201181247E-4
27.5 147.5 1.8456995201181247E-4
27.5 152.5 1.8456995201181247E-4
27.5 157.5 1.8456995201181247E-4
27.5 162.5 1.8456995201181247E-4
27.5 167.5 1.8456995201181247E-4
27.5 172.5 1.8456995201181247E-4
27.5 177.5 3.6913990402362494E-4
32.5 2.5 0.003875968992248062
32.5 7.5 0.004060538944259874
32.5 12.5 0.004429678848283499
32.5 17.5 0.00516795865633075
32.5 22.5 0.005537098560354375
32.5 27.5 0.006090808416389812
32.5 32.5 0.0068290882244370615
32.5 37.5 0.0068290882244370615
32.5 42.5 0.006275378368401624
32.5 47.5 0.005537098560354375
32.5 52.5 0.00516795865633075
32.5 57.5 0.004060538944259874
32.5 62.5 0.0036913990402362494
32.5 67.5 0.0029531192321889995
32.5 72.5 0.0018456995201181247
32.5 77.5 0.0012919896640826874
32.5 82.5 9.228497600590623E-4
32.5 87.5 9.228497600590623E-4
32.5 92.5 0.0012919896640826874
32.5 97.5 0.0016611295681063123
32.5 102.5 0.0022148394241417496
32.5 107.5 0.0033222591362126247
32.5 112.5 0.0035068290882244372
32.5 117.5 0.0033222591362126247
32.5 122.5 0.0027685492801771874
32.5 127.5 0.0022148394241417496
32.5 132.5 0.0022148394241417496
32.5 137.5 0.0022148394241417496
32.5 142.5 0.0027685492801771874
32.5 147.5 0.003137689184200812
32.5 152.5 0.0029531192321889995
32.5 157.5 0.002583979328165375
32.5 162.5 0.0027685492801771874
32.5 167.5 0.0033222591362126247
32.5 172.5 0.0035068290882244372
32.5 177.5 0.0036913990402362494
37.5 2.5 0.012366186784791436
37.5 7.5 0.014765596160944998
37.5 12.5 0.016242155777039496
37.5 17.5 0.014581026208933185
37.5 22.5 0.012550756736803248
37.5 27.5 0.01347360649686231
37.5 32.5 0.014765596160944998
37.5 37.5 0.014027316352897749
37.5 42.5 0.012366186784791436
37.5 47.5 0.010705057216685123
37.5 52.5 0.008305647840531562
37.5 57.5 0.0068290882244370615
37.5 62.5 0.005906238464377999
37.5 67.5 0.0049833887043189366
37.5 72.5 0.003875968992248062
37.5 77.5 0.0036913990402362494
37.5 82.5 0.0036913990402362494
37.5 87.5 0.0036913990402362494
37.5 92.5 0.003875968992248062
37.5 97.5 0.004798818752307124
37.5 102.5 0.005537098560354375
37.5 107.5 0.005906238464377999
37.5 112.5 0.006090808416389812
37.5 117.5 0.006090808416389812
37.5 122.5 0.006090808416389812
37.5 127.5 0.006090808416389812
37.5 132.5 0.006644518272425249
37.5 137.5 0.008121077888519748
37.5 142.5 0.009413067552602437
37.5 147.5 0.010889627168696936
37.5 152.5 0.011258767072720562
37.5 157.5 0.011627906976744186
37.5 162.5 0.011627906976744186
37.5 167.5 0.012181616832779624
37.5 172.5 0.01199704688076781
37.5 177.5 0.011627906976744186
42.5 2.5 0.052417866371354746
42.5 7.5 0.054817275747508304
42.5 12.5 0.05370985603543743
42.5 17.5 0.04891103728313031
