HEADER "0-ALL!P" not followed by a proline
HEADER "1-ALLP"      followed by a proline
HEADER "2-GLY!P"
HEADER "3-GLYP"
HEADER "3-GLYP"
HEADER "4-PRO!P"
HEADER "5-PROP"
HEADER "6-VI!P"
HEADER "7-VIP"
HEADER "8-DN!P"
HEADER "9-DNP"
HEADER "10-ST!P"
HEADER "11-STP"
HEADER "12-EQ!P"
HEADER "13-EQP"
HEADER "14-LA!P"
HEADER "15-LAP"
1 1 15   0.350  -0.544   0.582  -0.678
1 2 0  -0.263   0.224  -0.082   1.096
1 2 1  -0.156   0.161   0.176   1.282
1 2 2  -0.602   0.054   0.116   0.628
1 2 3  -0.399   0.042   0.259   0.613
1 2 4  -0.024  -0.225  -0.313   0.419
1 2 5   0.035  -0.247  -0.095   0.913
1 2 6  -0.113   0.273  -0.429   1.187
1 2 7   0.025   0.098  -0.161   1.251
1 2 8  -0.170   0.111  -0.384   0.905
1 2 9   0.075   0.067  -0.184   1.264
1 2 10  -0.290   0.257  -0.568   1.137
1 2 11  -0.214   0.201  -0.198   1.360
1 2 12  -0.151   0.303  -0.396   1.140
1 2 13  -0.004   0.172  -0.115   1.321
1 2 14  -0.100   0.324  -0.337   1.090
1 2 15   0.004   0.157   0.003   1.313
1 3 0   0.072  -0.041   0.010   0.018
1 3 1   0.010  -0.165  -0.190  -0.007
1 3 2   0.098   0.033   0.172  -0.061
1 3 3   0.548  -0.003   0.349  -0.015
1 3 4   0.010  -0.041  -0.187  -0.058
1 3 5  -0.196  -0.195   0.155  -0.206
1 3 6  -0.070  -0.124  -0.108   0.118
1 3 7  -0.192  -0.214   0.073  -0.160
1 3 8   0.113  -0.039   0.074   0.137
1 3 9  -0.031  -0.128  -0.264   0.060
1 3 10   0.046  -0.088  -0.016   0.049
1 3 11  -0.061  -0.241  -0.008   0.000
1 3 12  -0.001  -0.092  -0.032   0.107
1 3 13  -0.245  -0.122  -0.017  -0.062
1 3 14   0.019  -0.096  -0.014   0.049
1 3 15  -0.169  -0.240   0.132  -0.093
1 4 0  -0.240   0.094   0.219  -0.030
1 4 1  -0.484   0.264   0.122  -0.169
1 4 2  -0.229  -0.039   0.114  -0.028
1 4 3  -0.649   0.119   0.107  -0.278
1 4 4  -0.144   0.131   0.111   0.210
1 4 5   0.021   0.019   0.012   0.171
1 4 6  -0.124   0.127   0.362  -0.185
1 4 7  -0.357   0.157   0.243  -0.370
1 4 8  -0.260   0.013   0.015  -0.186
1 4 9  -0.324   0.192  -0.302  -0.618
1 4 10  -0.215   0.159   0.050  -0.050
