
5 5
0 0 0   0.000   0.000   0.000   0.000
0 1 0  -0.196   0.567   0.000   0.000
0 2 0   0.690  -0.393   0.000   0.000
0 3 0   0.088   0.128   0.000   0.000
0 4 0  -0.042   0.084   0.000   0.000
1 0 0  -0.588   0.000  -0.993   0.000
1 1 0   0.388  -0.172   0.066  -0.495
1 2 0  -0.263   0.224  -0.082   1.096
1 3 0   0.072  -0.041   0.010   0.018
1 4 0  -0.240   0.094   0.219  -0.030
2 0 0  -1.469   0.000   0.594   0.000
2 1 0  -0.663  -0.108   0.007   0.303
2 2 0  -0.557   0.561  -0.040   0.423
2 3 0  -0.141   0.254   0.076   0.284
2 4 0   0.222   0.068   0.185  -0.098
3 0 0  -0.426   0.000   0.094   0.000
3 1 0  -0.224   0.042   0.090   0.047
3 2 0  -0.225   0.060  -0.188   0.099
3 3 0   0.361   0.081  -0.115  -0.072
3 4 0   0.521   0.044  -0.098  -0.049
4 0 0  -0.295   0.000   0.179   0.000
4 1 0  -0.156   0.116   0.104   0.013
4 2 0   0.041   0.388   0.126  -0.666
4 3 0   0.361   0.136  -0.371  -0.341
4 4 0   0.874   0.026  -0.015  -0.317 
